yourlist:M202205025BF3C56A578D7D6DFD1FC81EE5DA77304BFA55N	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q9NYJ8	Q9NYJ8	TAB2_HUMAN	reviewed	TGF-beta-activated kinase 1 and MAP3K7-binding protein 2 (Mitogen-activated protein kinase kinase kinase 7-interacting protein 2) (TAK1-binding protein 2) (TAB-2) (TGF-beta-activated kinase 1-binding protein 2)	TAB2 KIAA0733 MAP3K7IP2	Homo sapiens (Human)	693
Q86X83	Q86X83	COMD2_HUMAN	reviewed	COMM domain-containing protein 2	COMMD2 HSPC042 My004	Homo sapiens (Human)	199
F6WQW2	F6WQW2	F6WQW2_HUMAN	unreviewed	Ran-specific GTPase-activating protein	RANBP1	Homo sapiens (Human)	278
Q9UHJ9	Q9UHJ9	PGAP2_HUMAN	reviewed	Post-GPI attachment to proteins factor 2 (FGF receptor-activating protein 1)	PGAP2 FRAG1	Homo sapiens (Human)	254
P25106	P25106	ACKR3_HUMAN	reviewed	Atypical chemokine receptor 3 (C-X-C chemokine receptor type 7) (CXC-R7) (CXCR-7) (Chemokine orphan receptor 1) (G-protein coupled receptor 159) (G-protein coupled receptor RDC1 homolog) (RDC-1)	ACKR3 CMKOR1 CXCR7 GPR159 RDC1	Homo sapiens (Human)	362
P57738	P57738	TCTA_HUMAN	reviewed	T-cell leukemia translocation-altered gene protein (T-cell leukemia translocation-associated gene protein)	TCTA	Homo sapiens (Human)	103
Q9NQ87	Q9NQ87	HEYL_HUMAN	reviewed	Hairy/enhancer-of-split related with YRPW motif-like protein (hHeyL) (Class B basic helix-loop-helix protein 33) (bHLHb33) (Hairy-related transcription factor 3) (HRT-3) (hHRT3)	HEYL BHLHB33 HRT3	Homo sapiens (Human)	328
Q4G0W2	Q4G0W2	DUS28_HUMAN	reviewed	Dual specificity phosphatase 28 (EC 3.1.3.16) (EC 3.1.3.48)	DUSP28	Homo sapiens (Human)	176
P56539	P56539	CAV3_HUMAN	reviewed	Caveolin-3 (M-caveolin)	CAV3	Homo sapiens (Human)	151
F8VTQ5	F8VTQ5	F8VTQ5_HUMAN	unreviewed	Heterogeneous nuclear ribonucleoprotein A1 (Fragment)	HNRNPA1	Homo sapiens (Human)	145
Q9H6R6	Q9H6R6	ZDHC6_HUMAN	reviewed	Palmitoyltransferase ZDHHC6 (EC 2.3.1.225) (Stearoyltransferase ZDHHC6) (EC 2.3.1.-) (Transmembrane protein H4) (Zinc finger DHHC domain-containing protein 6) (DHHC-6) (Zinc finger protein 376)	ZDHHC6 ZNF376	Homo sapiens (Human)	413
P42773	P42773	CDN2C_HUMAN	reviewed	Cyclin-dependent kinase 4 inhibitor C (Cyclin-dependent kinase 6 inhibitor) (p18-INK4c) (p18-INK6)	CDKN2C CDKN6	Homo sapiens (Human)	168
Q9NWS0	Q9NWS0	PIHD1_HUMAN	reviewed	PIH1 domain-containing protein 1 (Nucleolar protein 17 homolog)	PIH1D1 NOP17	Homo sapiens (Human)	290
P32121	P32121	ARRB2_HUMAN	reviewed	Beta-arrestin-2 (Arrestin beta-2) (Non-visual arrestin-3)	ARRB2 ARB2 ARR2	Homo sapiens (Human)	409
Q02410	Q02410	APBA1_HUMAN	reviewed	Amyloid-beta A4 precursor protein-binding family A member 1 (Adapter protein X11alpha) (Neuron-specific X11 protein) (Neuronal Munc18-1-interacting protein 1) (Mint-1)	APBA1 MINT1 X11	Homo sapiens (Human)	837
Q6KB66	Q6KB66	K2C80_HUMAN	reviewed	Keratin, type II cytoskeletal 80 (Cytokeratin-80) (CK-80) (Keratin-80) (K80) (Type-II keratin Kb20)	KRT80 KB20	Homo sapiens (Human)	452
O95373	O95373	IPO7_HUMAN	reviewed	Importin-7 (Imp7) (Ran-binding protein 7) (RanBP7)	IPO7 RANBP7	Homo sapiens (Human)	1038
D6R9F7	D6R9F7	D6R9F7_HUMAN	unreviewed	Mitogen-activated protein kinase-binding protein 1 (Fragment)	MAPKBP1	Homo sapiens (Human)	156
Q13151	Q13151	ROA0_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein A0 (hnRNP A0)	HNRNPA0 HNRPA0	Homo sapiens (Human)	305
Q9H1A4	Q9H1A4	APC1_HUMAN	reviewed	Anaphase-promoting complex subunit 1 (APC1) (Cyclosome subunit 1) (Mitotic checkpoint regulator) (Testis-specific gene 24 protein)	ANAPC1 TSG24	Homo sapiens (Human)	1944
J3KS33	J3KS33	J3KS33_HUMAN	unreviewed	Testis-specific Y-encoded-like protein 2 (Fragment)	TSPYL2	Homo sapiens (Human)	250
P20226-1,P20226	P20226	TBP_HUMAN	reviewed	TATA-box-binding protein (TATA sequence-binding protein) (TATA-binding factor) (TATA-box factor) (Transcription initiation factor TFIID TBP subunit)	TBP GTF2D1 TF2D TFIID	Homo sapiens (Human)	339
Q5T9A4	Q5T9A4	ATD3B_HUMAN	reviewed	ATPase family AAA domain-containing protein 3B (AAA-TOB3)	ATAD3B KIAA1273 TOB3	Homo sapiens (Human)	648
A0A0K0K1K4	A0A0K0K1K4	A0A0K0K1K4_HUMAN	unreviewed	Proteasome subunit alpha type	HEL-S-276	Homo sapiens (Human)	248
Q9BVM3	Q9BVM3	Q9BVM3_HUMAN	unreviewed	ANKRD6 protein (Fragment)	ANKRD6	Homo sapiens (Human)	319
H0YJ74	H0YJ74	H0YJ74_HUMAN	unreviewed	Bromodomain adjacent to zinc finger domain protein 1A (Fragment)	BAZ1A	Homo sapiens (Human)	76
H3BTJ3	H3BTJ3	H3BTJ3_HUMAN	unreviewed	F-box/LRR-repeat protein 19 (Fragment)	FBXL19	Homo sapiens (Human)	122
P10588	P10588	NR2F6_HUMAN	reviewed	Nuclear receptor subfamily 2 group F member 6 (V-erbA-related protein 2) (EAR-2)	NR2F6 EAR2 ERBAL2	Homo sapiens (Human)	404
A5JUM8	A5JUM8	A5JUM8_HUMAN	unreviewed	Adenomatosis polyposis coli tumor suppressor (Fragment)	APC	Homo sapiens (Human)	99
Q9BVL2	Q9BVL2	NUP58_HUMAN	reviewed	Nucleoporin p58/p45 (58 kDa nucleoporin) (Nucleoporin-like protein 1)	NUP58 KIAA0410 NUPL1	Homo sapiens (Human)	599
P60604	P60604	UB2G2_HUMAN	reviewed	Ubiquitin-conjugating enzyme E2 G2 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme G2) (Ubiquitin carrier protein G2) (Ubiquitin-protein ligase G2)	UBE2G2 UBC7	Homo sapiens (Human)	165
P46939	P46939	UTRN_HUMAN	reviewed	Utrophin (Dystrophin-related protein 1) (DRP-1)	UTRN DMDL DRP1	Homo sapiens (Human)	3433
P98164	P98164	LRP2_HUMAN	reviewed	Low-density lipoprotein receptor-related protein 2 (LRP-2) (Glycoprotein 330) (gp330) (Megalin)	LRP2	Homo sapiens (Human)	4655
Q14679	Q14679	TTLL4_HUMAN	reviewed	Tubulin monoglutamylase TTLL4 (EC 6.3.2.-) (Protein monoglutamylase TTLL4) (Tubulin--tyrosine ligase-like protein 4)	TTLL4 KIAA0173	Homo sapiens (Human)	1199
P23508-1,P23508	P23508	CRCM_HUMAN	reviewed	Colorectal mutant cancer protein (Protein MCC)	MCC	Homo sapiens (Human)	829
Q9Y5Q8	Q9Y5Q8	TF3C5_HUMAN	reviewed	General transcription factor 3C polypeptide 5 (TF3C-epsilon) (Transcription factor IIIC 63 kDa subunit) (TFIIIC 63 kDa subunit) (TFIIIC63) (Transcription factor IIIC subunit epsilon)	GTF3C5 CDABP0017	Homo sapiens (Human)	519
P19075	P19075	TSN8_HUMAN	reviewed	Tetraspanin-8 (Tspan-8) (Transmembrane 4 superfamily member 3) (Tumor-associated antigen CO-029)	TSPAN8 TM4SF3	Homo sapiens (Human)	237
Q9BYK8	Q9BYK8	HELZ2_HUMAN	reviewed	Helicase with zinc finger domain 2 (ATP-dependent helicase PRIC285) (Helicase with zinc finger 2, transcriptional coactivator) (PPAR-alpha-interacting complex protein 285) (PPAR-gamma DNA-binding domain-interacting protein 1) (PDIP1) (PPAR-gamma DBD-interacting protein 1) (Peroxisomal proliferator-activated receptor A-interacting complex 285 kDa protein) (EC 3.6.4.-)	HELZ2 KIAA1769 PRIC285	Homo sapiens (Human)	2649
P00387,P00387-2	P00387	NB5R3_HUMAN	reviewed	NADH-cytochrome b5 reductase 3 (B5R) (Cytochrome b5 reductase) (EC 1.6.2.2) (Diaphorase-1) [Cleaved into: NADH-cytochrome b5 reductase 3 membrane-bound form; NADH-cytochrome b5 reductase 3 soluble form]	CYB5R3 DIA1	Homo sapiens (Human)	301
Q9NRF9	Q9NRF9	DPOE3_HUMAN	reviewed	DNA polymerase epsilon subunit 3 (Arsenic-transactivated protein) (AsTP) (Chromatin accessibility complex 17 kDa protein) (CHRAC-17) (HuCHRAC17) (DNA polymerase II subunit 3) (DNA polymerase epsilon subunit p17)	POLE3 CHRAC17	Homo sapiens (Human)	147
O00418	O00418	EF2K_HUMAN	reviewed	Eukaryotic elongation factor 2 kinase (eEF-2 kinase) (eEF-2K) (EC 2.7.11.20) (Calcium/calmodulin-dependent eukaryotic elongation factor 2 kinase)	EEF2K	Homo sapiens (Human)	725
O95613	O95613	PCNT_HUMAN	reviewed	Pericentrin (Kendrin) (Pericentrin-B)	PCNT KIAA0402 PCNT2	Homo sapiens (Human)	3336
Q9UHR6	Q9UHR6	ZNHI2_HUMAN	reviewed	Zinc finger HIT domain-containing protein 2 (Protein FON)	ZNHIT2 C11orf5	Homo sapiens (Human)	403
A0A024R500	A0A024R500	A0A024R500_HUMAN	unreviewed	Uncharacterized protein	RP3-402G11.12 hCG_31856	Homo sapiens (Human)	263
Q9P289	Q9P289	STK26_HUMAN	reviewed	Serine/threonine-protein kinase 26 (EC 2.7.11.1) (MST3 and SOK1-related kinase) (Mammalian STE20-like protein kinase 4) (MST-4) (STE20-like kinase MST4) (Serine/threonine-protein kinase MASK)	STK26 MASK MST4	Homo sapiens (Human)	416
O75155	O75155	CAND2_HUMAN	reviewed	Cullin-associated NEDD8-dissociated protein 2 (Cullin-associated and neddylation-dissociated protein 2) (Epididymis tissue protein Li 169) (TBP-interacting protein of 120 kDa B) (TBP-interacting protein 120B) (p120 CAND2)	CAND2 KIAA0667 TIP120B	Homo sapiens (Human)	1236
Q9NVJ2	Q9NVJ2	ARL8B_HUMAN	reviewed	ADP-ribosylation factor-like protein 8B (EC 3.6.5.2) (ADP-ribosylation factor-like protein 10C) (Novel small G protein indispensable for equal chromosome segregation 1)	ARL8B ARL10C GIE1	Homo sapiens (Human)	186
Q9BVG3	Q9BVG3	TRI62_HUMAN	reviewed	E3 ubiquitin-protein ligase TRIM62 (EC 2.3.2.27) (Tripartite motif-containing protein 62)	TRIM62	Homo sapiens (Human)	475
Q9H9B1	Q9H9B1	EHMT1_HUMAN	reviewed	Histone-lysine N-methyltransferase EHMT1 (EC 2.1.1.-) (EC 2.1.1.367) (Euchromatic histone-lysine N-methyltransferase 1) (Eu-HMTase1) (G9a-like protein 1) (GLP) (GLP1) (Histone H3-K9 methyltransferase 5) (H3-K9-HMTase 5) (Lysine N-methyltransferase 1D)	EHMT1 EUHMTASE1 GLP KIAA1876 KMT1D	Homo sapiens (Human)	1298
Q9UKL0	Q9UKL0	RCOR1_HUMAN	reviewed	REST corepressor 1 (Protein CoREST)	RCOR1 KIAA0071 RCOR	Homo sapiens (Human)	485
P32322	P32322	P5CR1_HUMAN	reviewed	Pyrroline-5-carboxylate reductase 1, mitochondrial (P5C reductase 1) (P5CR 1) (EC 1.5.1.2)	PYCR1	Homo sapiens (Human)	319
Q9UKT8	Q9UKT8	FBXW2_HUMAN	reviewed	F-box/WD repeat-containing protein 2 (F-box and WD-40 domain-containing protein 2) (Protein MD6)	FBXW2 FBW2 FWD2	Homo sapiens (Human)	454
P53985	P53985	MOT1_HUMAN	reviewed	Monocarboxylate transporter 1 (MCT 1) (Solute carrier family 16 member 1)	SLC16A1 MCT1	Homo sapiens (Human)	500
O60427	O60427	FADS1_HUMAN	reviewed	Acyl-CoA (8-3)-desaturase (EC 1.14.19.44) (Delta(5) fatty acid desaturase) (D5D) (Delta(5) desaturase) (Delta-5 desaturase) (Fatty acid desaturase 1)	FADS1 FADSD5	Homo sapiens (Human)	444
Q9UN37	Q9UN37	VPS4A_HUMAN	reviewed	Vacuolar protein sorting-associated protein 4A (EC 3.6.4.6) (Protein SKD2) (VPS4-1) (hVPS4)	VPS4A VPS4	Homo sapiens (Human)	437
Q9Y2P8	Q9Y2P8	RCL1_HUMAN	reviewed	RNA 3'-terminal phosphate cyclase-like protein	RCL1 RNAC RPC2 RPCL1 RTC2 HSPC338	Homo sapiens (Human)	373
O75460	O75460	ERN1_HUMAN	reviewed	Serine/threonine-protein kinase/endoribonuclease IRE1 (Endoplasmic reticulum-to-nucleus signaling 1) (Inositol-requiring protein 1) (hIRE1p) (Ire1-alpha) (IRE1a) [Includes: Serine/threonine-protein kinase (EC 2.7.11.1); Endoribonuclease (EC 3.1.26.-)]	ERN1 IRE1	Homo sapiens (Human)	977
P25686	P25686	DNJB2_HUMAN	reviewed	DnaJ homolog subfamily B member 2 (Heat shock 40 kDa protein 3) (Heat shock protein J1) (HSJ-1)	DNAJB2 HSJ1 HSPF3	Homo sapiens (Human)	324
Q9UQL6	Q9UQL6	HDAC5_HUMAN	reviewed	Histone deacetylase 5 (HD5) (EC 3.5.1.98) (Antigen NY-CO-9)	HDAC5 KIAA0600	Homo sapiens (Human)	1122
Q59EV6	Q59EV6	Q59EV6_HUMAN	unreviewed	Carboxypeptidase (EC 3.4.16.-) (Fragment)	PPGB hCG_38374	Homo sapiens (Human)	497
Q6NZY4	Q6NZY4	ZCHC8_HUMAN	reviewed	Zinc finger CCHC domain-containing protein 8 (TRAMP-like complex RNA-binding factor ZCCHC8)	ZCCHC8	Homo sapiens (Human)	707
O15393	O15393	TMPS2_HUMAN	reviewed	Transmembrane protease serine 2 (EC 3.4.21.-) (Serine protease 10) [Cleaved into: Transmembrane protease serine 2 non-catalytic chain; Transmembrane protease serine 2 catalytic chain]	TMPRSS2 PRSS10	Homo sapiens (Human)	492
P30260	P30260	CDC27_HUMAN	reviewed	Cell division cycle protein 27 homolog (Anaphase-promoting complex subunit 3) (APC3) (CDC27 homolog) (CDC27Hs) (H-NUC)	CDC27 ANAPC3 D0S1430E D17S978E	Homo sapiens (Human)	824
Q12800	Q12800	TFCP2_HUMAN	reviewed	Alpha-globin transcription factor CP2 (SAA3 enhancer factor) (Transcription factor LSF)	TFCP2 LSF SEF	Homo sapiens (Human)	502
Q99704	Q99704	DOK1_HUMAN	reviewed	Docking protein 1 (Downstream of tyrosine kinase 1) (p62(dok)) (pp62)	DOK1	Homo sapiens (Human)	481
G3V210	G3V210	G3V210_HUMAN	unreviewed	60S acidic ribosomal protein P0 (Ribosomal protein, large, P0, isoform CRA_c)	RPLP0 hCG_2016152	Homo sapiens (Human)	166
Q9UPT5	Q9UPT5	EXOC7_HUMAN	reviewed	Exocyst complex component 7 (Exocyst complex component Exo70)	EXOC7 EXO70 KIAA1067	Homo sapiens (Human)	735
A0A024RBU4	A0A024RBU4	A0A024RBU4_HUMAN	unreviewed	HCG1981838, isoform CRA_b	hCG_1981838	Homo sapiens (Human)	694
H0YDK7	H0YDK7	H0YDK7_HUMAN	unreviewed	Ras-related protein Rab-30 (Fragment)	RAB30	Homo sapiens (Human)	167
Q86V42	Q86V42	F124A_HUMAN	reviewed	Protein FAM124A	FAM124A	Homo sapiens (Human)	546
O60494	O60494	CUBN_HUMAN	reviewed	Cubilin (460 kDa receptor) (Intestinal intrinsic factor receptor) (Intrinsic factor-cobalamin receptor) (Intrinsic factor-vitamin B12 receptor)	CUBN IFCR	Homo sapiens (Human)	3623
A1Z625	A1Z625	A1Z625_HUMAN	unreviewed	NAD(P)(+)--arginine ADP-ribosyltransferase (EC 2.4.2.31) (Mono(ADP-ribosyl)transferase) (Fragment)	ART4	Homo sapiens (Human)	236
Q9HC56	Q9HC56	PCDH9_HUMAN	reviewed	Protocadherin-9	PCDH9	Homo sapiens (Human)	1237
Q5VW36	Q5VW36	FOCAD_HUMAN	reviewed	Focadhesin	FOCAD KIAA1797	Homo sapiens (Human)	1801
A6NI86	A6NI86	GG6LA_HUMAN	reviewed	Golgin subfamily A member 6-like protein 10	GOLGA6L10 GOLGA6L18	Homo sapiens (Human)	522
P12314	P12314	FCGR1_HUMAN	reviewed	High affinity immunoglobulin gamma Fc receptor I (IgG Fc receptor I) (Fc-gamma RI) (FcRI) (Fc-gamma RIA) (FcgammaRIa) (CD antigen CD64)	FCGR1A FCG1 FCGR1 IGFR1	Homo sapiens (Human)	374
P78318	P78318	IGBP1_HUMAN	reviewed	Immunoglobulin-binding protein 1 (B-cell signal transduction molecule alpha 4) (Protein alpha-4) (CD79a-binding protein 1) (Protein phosphatase 2/4/6 regulatory subunit) (Renal carcinoma antigen NY-REN-16)	IGBP1 IBP1	Homo sapiens (Human)	339
F8WD91	F8WD91	F8WD91_HUMAN	unreviewed	Protein boule-like	BOLL	Homo sapiens (Human)	87
V9HW39	V9HW39	V9HW39_HUMAN	unreviewed	Epididymis secretory protein Li 100	HEL-S-100	Homo sapiens (Human)	359
P33316	P33316	DUT_HUMAN	reviewed	Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial (dUTPase) (EC 3.6.1.23) (dUTP pyrophosphatase)	DUT	Homo sapiens (Human)	252
Q9NZI7	Q9NZI7	UBIP1_HUMAN	reviewed	Upstream-binding protein 1 (Transcription factor LBP-1)	UBP1 LBP1	Homo sapiens (Human)	540
P61019	P61019	RAB2A_HUMAN	reviewed	Ras-related protein Rab-2A	RAB2A RAB2	Homo sapiens (Human)	212
O14653	O14653	GOSR2_HUMAN	reviewed	Golgi SNAP receptor complex member 2 (27 kDa Golgi SNARE protein) (Membrin)	GOSR2 GS27	Homo sapiens (Human)	212
Q9Y5I4	Q9Y5I4	PCDC2_HUMAN	reviewed	Protocadherin alpha-C2 (PCDH-alpha-C2)	PCDHAC2	Homo sapiens (Human)	1007
O43294	O43294	TGFI1_HUMAN	reviewed	Transforming growth factor beta-1-induced transcript 1 protein (Androgen receptor coactivator 55 kDa protein) (Androgen receptor-associated protein of 55 kDa) (Hydrogen peroxide-inducible clone 5 protein) (Hic-5)	TGFB1I1 ARA55	Homo sapiens (Human)	461
V9HWE0	V9HWE0	V9HWE0_HUMAN	unreviewed	Annexin	HEL-S-7	Homo sapiens (Human)	320
Q96PI1	Q96PI1	SPRR4_HUMAN	reviewed	Small proline-rich protein 4	SPRR4	Homo sapiens (Human)	79
F6XY72	F6XY72	F6XY72_HUMAN	unreviewed	HCG2001850, isoform CRA_c (Nucleoside diphosphate kinase B)	NME2 hCG_2001850	Homo sapiens (Human)	82
Q96RY7	Q96RY7	IF140_HUMAN	reviewed	Intraflagellar transport protein 140 homolog (WD and tetratricopeptide repeats protein 2)	IFT140 KIAA0590 WDTC2	Homo sapiens (Human)	1462
A1Z1Q3	A1Z1Q3	MACD2_HUMAN	reviewed	ADP-ribose glycohydrolase MACROD2 (MACRO domain-containing protein 2) (O-acetyl-ADP-ribose deacetylase MACROD2) (EC 3.5.1.-) ([Protein ADP-ribosylaspartate] hydrolase MACROD2) (EC 3.2.2.-) ([Protein ADP-ribosylglutamate] hydrolase MACROD2) (EC 3.2.2.-)	MACROD2 C20orf133	Homo sapiens (Human)	425
O95361	O95361	TRI16_HUMAN	reviewed	Tripartite motif-containing protein 16 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRIM16) (Estrogen-responsive B box protein)	TRIM16 EBBP	Homo sapiens (Human)	564
A0A024R9P0	A0A024R9P0	A0A024R9P0_HUMAN	unreviewed	Centrosomal protein 27kDa, isoform CRA_b	CEP27 hCG_40433	Homo sapiens (Human)	235
P11172	P11172	UMPS_HUMAN	reviewed	Uridine 5'-monophosphate synthase (UMP synthase) [Includes: Orotate phosphoribosyltransferase (OPRT) (OPRTase) (EC 2.4.2.10); Orotidine 5'-phosphate decarboxylase (ODC) (EC 4.1.1.23) (OMPdecase)]	UMPS OK/SW-cl.21	Homo sapiens (Human)	480
P02538	P02538	K2C6A_HUMAN	reviewed	Keratin, type II cytoskeletal 6A (Cytokeratin-6A) (CK-6A) (Cytokeratin-6D) (CK-6D) (Keratin-6A) (K6A) (Type-II keratin Kb6) (allergen Hom s 5)	KRT6A K6A KRT6D	Homo sapiens (Human)	564
Q86U42	Q86U42	PABP2_HUMAN	reviewed	Polyadenylate-binding protein 2 (PABP-2) (Poly(A)-binding protein 2) (Nuclear poly(A)-binding protein 1) (Poly(A)-binding protein II) (PABII) (Polyadenylate-binding nuclear protein 1)	PABPN1 PAB2 PABP2	Homo sapiens (Human)	306
A0A140TA86	A0A140TA86	A0A140TA86_HUMAN	unreviewed	MICOS complex subunit MIC13	MICOS13	Homo sapiens (Human)	140
P53582	P53582	MAP11_HUMAN	reviewed	Methionine aminopeptidase 1 (MAP 1) (MetAP 1) (EC 3.4.11.18) (Peptidase M 1)	METAP1 KIAA0094	Homo sapiens (Human)	386
P02686,P02686-1	P02686	MBP_HUMAN	reviewed	Myelin basic protein (MBP) (Myelin A1 protein) (Myelin membrane encephalitogenic protein)	MBP	Homo sapiens (Human)	304
A0A140TA84	A0A140TA84	A0A140TA84_HUMAN	unreviewed	MICOS complex subunit MIC13	MICOS13	Homo sapiens (Human)	110
P78559	P78559	MAP1A_HUMAN	reviewed	Microtubule-associated protein 1A (MAP-1A) (Proliferation-related protein p80) [Cleaved into: MAP1A heavy chain; MAP1 light chain LC2]	MAP1A MAP1L	Homo sapiens (Human)	2803
P10827	P10827	THA_HUMAN	reviewed	Thyroid hormone receptor alpha (Nuclear receptor subfamily 1 group A member 1) (V-erbA-related protein 7) (EAR-7) (c-erbA-1) (c-erbA-alpha)	THRA EAR7 ERBA1 NR1A1 THRA1 THRA2	Homo sapiens (Human)	490
O75533	O75533	SF3B1_HUMAN	reviewed	Splicing factor 3B subunit 1 (Pre-mRNA-splicing factor SF3b 155 kDa subunit) (SF3b155) (Spliceosome-associated protein 155) (SAP 155)	SF3B1 SAP155	Homo sapiens (Human)	1304
Q9NVX0	Q9NVX0	HAUS2_HUMAN	reviewed	HAUS augmin-like complex subunit 2 (Centrosomal protein of 27 kDa) (Cep27)	HAUS2 C15orf25 CEP27	Homo sapiens (Human)	235
O43432	O43432	IF4G3_HUMAN	reviewed	Eukaryotic translation initiation factor 4 gamma 3 (eIF-4-gamma 3) (eIF-4G 3) (eIF4G 3) (eIF-4-gamma II) (eIF4GII)	EIF4G3	Homo sapiens (Human)	1585
Q5JPE7	Q5JPE7	NOMO2_HUMAN	reviewed	Nodal modulator 2 (pM5 protein 2)	NOMO2	Homo sapiens (Human)	1267
Q5TAX3	Q5TAX3	TUT4_HUMAN	reviewed	Terminal uridylyltransferase 4 (TUTase 4) (EC 2.7.7.52) (Zinc finger CCHC domain-containing protein 11)	TUT4 KIAA0191 ZCCHC11	Homo sapiens (Human)	1644
P28161	P28161	GSTM2_HUMAN	reviewed	Glutathione S-transferase Mu 2 (EC 2.5.1.18) (GST class-mu 2) (GSTM2-2)	GSTM2 GST4	Homo sapiens (Human)	218
Q5W0U4	Q5W0U4	BSPRY_HUMAN	reviewed	B box and SPRY domain-containing protein	BSPRY	Homo sapiens (Human)	402
Q9NQX3	Q9NQX3	GEPH_HUMAN	reviewed	Gephyrin [Includes: Molybdopterin adenylyltransferase (MPT adenylyltransferase) (EC 2.7.7.75) (Domain G); Molybdopterin molybdenumtransferase (MPT Mo-transferase) (EC 2.10.1.1) (Domain E)]	GPHN GPH KIAA1385	Homo sapiens (Human)	736
P52272	P52272	HNRPM_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein M (hnRNP M)	HNRNPM HNRPM NAGR1	Homo sapiens (Human)	730
Q9P0J0	Q9P0J0	NDUAD_HUMAN	reviewed	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 (Cell death regulatory protein GRIM-19) (Complex I-B16.6) (CI-B16.6) (Gene associated with retinoic and interferon-induced mortality 19 protein) (GRIM-19) (Gene associated with retinoic and IFN-induced mortality 19 protein) (NADH-ubiquinone oxidoreductase B16.6 subunit)	NDUFA13 GRIM19 CDA016 CGI-39	Homo sapiens (Human)	144
P57727	P57727	TMPS3_HUMAN	reviewed	Transmembrane protease serine 3 (EC 3.4.21.-) (Serine protease TADG-12) (Tumor-associated differentially-expressed gene 12 protein)	TMPRSS3 ECHOS1 TADG12 UNQ323/PRO382	Homo sapiens (Human)	454
Q9Y3D5	Q9Y3D5	RT18C_HUMAN	reviewed	28S ribosomal protein S18c, mitochondrial (MRP-S18-c) (Mrps18-c) (S18mt-c) (28S ribosomal protein S18-1, mitochondrial) (MRP-S18-1) (Mitochondrial small ribosomal subunit protein bS18c) (Mitochondrial small ribosomal subunit protein bS18m)	MRPS18C CGI-134	Homo sapiens (Human)	142
Q4KWH8	Q4KWH8	PLCH1_HUMAN	reviewed	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1 (EC 3.1.4.11) (Phosphoinositide phospholipase C-eta-1) (Phospholipase C-eta-1) (PLC-eta-1) (Phospholipase C-like protein 3) (PLC-L3)	PLCH1 KIAA1069 PLCL3	Homo sapiens (Human)	1693
Q4G0N4	Q4G0N4	NAKD2_HUMAN	reviewed	NAD kinase 2, mitochondrial (EC 2.7.1.23) (Mitochondrial NAD kinase) (NAD kinase domain-containing protein 1, mitochondrial)	NADK2 C5orf33 MNADK NADKD1	Homo sapiens (Human)	442
Q96II8	Q96II8	LRCH3_HUMAN	reviewed	DISP complex protein LRCH3 (Leucine-rich repeat and calponin homology domain-containing protein 3)	LRCH3	Homo sapiens (Human)	777
Q8N122	Q8N122	RPTOR_HUMAN	reviewed	Regulatory-associated protein of mTOR (Raptor) (p150 target of rapamycin (TOR)-scaffold protein)	RPTOR KIAA1303 RAPTOR	Homo sapiens (Human)	1335
Q96HU1	Q96HU1	SGSM3_HUMAN	reviewed	Small G protein signaling modulator 3 (Merlin-associated protein) (RUN and TBC1 domain-containing protein 3) (Rab-GTPase-activating protein-like protein) (RabGAPLP)	SGSM3 MAP RABGAPLP RUTBC3	Homo sapiens (Human)	749
P51825	P51825	AFF1_HUMAN	reviewed	AF4/FMR2 family member 1 (ALL1-fused gene from chromosome 4 protein) (Protein AF-4) (Protein FEL) (Proto-oncogene AF4)	AFF1 AF4 FEL MLLT2 PBM1	Homo sapiens (Human)	1210
Q9UHK0	Q9UHK0	NUFP1_HUMAN	reviewed	Nuclear fragile X mental retardation-interacting protein 1 (Nuclear FMRP-interacting protein 1)	NUFIP1	Homo sapiens (Human)	495
Q9H1Q7	Q9H1Q7	PED1A_HUMAN	reviewed	PC-esterase domain-containing protein 1A (Protein FAM113A) (Sarcoma antigen NY-SAR-23)	PCED1A C20orf81 FAM113A	Homo sapiens (Human)	454
O95405	O95405	ZFYV9_HUMAN	reviewed	Zinc finger FYVE domain-containing protein 9 (Mothers against decapentaplegic homolog-interacting protein) (Madh-interacting protein) (Novel serine protease) (NSP) (Receptor activation anchor) (hSARA) (Smad anchor for receptor activation)	ZFYVE9 MADHIP SARA SMADIP	Homo sapiens (Human)	1425
V9HVY3	V9HVY3	V9HVY3_HUMAN	unreviewed	Protein disulfide-isomerase (EC 5.3.4.1)	HEL-S-269 HEL-S-93n PDIA3 hCG_38001	Homo sapiens (Human)	505
P00738	P00738	HPT_HUMAN	reviewed	Haptoglobin (Zonulin) [Cleaved into: Haptoglobin alpha chain; Haptoglobin beta chain]	HP	Homo sapiens (Human)	406
